Block_Maze_1(31, 167, 1)

dsnclass.Text("Block Maze 1", (500, 472), 60, "impact", GREY, None)
dsnclass.Text("Block Maze 3", (615, 122), 40, "impact"", (125, 125, 125), None)

self.platforms =  [
        pygame.draw.rect(screen, (0, 0, 0), [0, 5, 12, 571]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 566, 1080, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [969, 100, 101, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [928, 62, 101, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [924, 46, 9, 97]),
        pygame.draw.rect(screen, (0, 0, 0), [924, 135, 152, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [866, 13, 9, 196]),
        pygame.draw.rect(screen, (0, 0, 0), [648, 494, 9, 75]),
        pygame.draw.rect(screen, (0, 0, 0), [777, 532, 9, 40]),
        pygame.draw.rect(screen, (0, 0, 0), [666, 532, 9, 40]),
        pygame.draw.rect(screen, (0, 0, 0), [403, 493, 255, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [405, 497, 9, 74]),
        pygame.draw.rect(screen, (0, 0, 0), [305, 506, 9, 65]),
        pygame.draw.rect(screen, (0, 0, 0), [665, 525, 122, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [304, 506, 107, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [649, 530, 25, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [249, 480, 33, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [783, 438, 5, 48]),
        pygame.draw.rect(screen, (0, 0, 0), [1068, 5, 12, 571]),
        pygame.draw.rect(screen, (0, 0, 0), [1018, 458, 9, 44]),
        pygame.draw.rect(screen, (0, 0, 0), [931, 458, 95, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [63, 496, 97, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 464, 113, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [832, 494, 193, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [254, 441, 558, 29]),
        pygame.draw.rect(screen, (0, 0, 0), [783, 480, 33, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [492, 348, 78, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [278, 439, 5, 50]),
        pygame.draw.rect(screen, (0, 0, 0), [595, 361, 5, 25]),
        pygame.draw.rect(screen, (0, 0, 0), [935, 396, 77, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [1005, 396, 7, 65]),
        pygame.draw.rect(screen, (0, 0, 0), [861, 311, 9, 63]),
        pygame.draw.rect(screen, (0, 0, 0), [901, 338, 133, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 524, 231, 28]),
        pygame.draw.rect(screen, (0, 0, 0), [809, 365, 9, 124]),
        pygame.draw.rect(screen, (0, 0, 0), [49, 434, 141, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [844, 421, 126, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [844, 371, 9, 57]),
        pygame.draw.rect(screen, (0, 0, 0), [845, 371, 108, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [886, 423, 9, 53]),
        pygame.draw.rect(screen, (0, 0, 0), [840, 308, 118, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [886, 270, 165, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [1028, 310, 23, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [1044, 270, 7, 47]),
        pygame.draw.rect(screen, (0, 0, 0), [1027, 311, 7, 33]),
        pygame.draw.rect(screen, (0, 0, 0), [803, 240, 84, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [753, 219, 49, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [983, 341, 8, 59]),
        pygame.draw.rect(screen, (0, 0, 0), [840, 246, 9, 50]),
        pygame.draw.rect(screen, (0, 0, 0), [796, 219, 8, 28]),
        pygame.draw.rect(screen, (0, 0, 0), [640, 197, 104, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [719, 282, 107, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [743, 197, 8, 29]),
        pygame.draw.rect(screen, (0, 0, 0), [615, 214, 36, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [520, 274, 22, 76]),
        pygame.draw.rect(screen, (0, 0, 0), [582, 290, 111, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [372, 244, 99, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [246, 367, 9, 122]),
        pygame.draw.rect(screen, (0, 0, 0), [618, 179, 90, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [987, 551, 87, 17]),
        pygame.draw.rect(screen, (0, 0, 0), [942, 551, 31, 17]),
        pygame.draw.rect(screen, (0, 0, 0), [256, 370, 552, 61]),
        pygame.draw.rect(screen, (0, 0, 0), [465, 364, 5, 14]),
        pygame.draw.rect(screen, (0, 0, 0), [82, 340, 99, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [81, 282, 61, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 313, 61, 7]),
        pygame.draw.rect(screen, (52, 52, 52), [153, 437, 7, 65]),
        pygame.draw.rect(screen, (52, 52, 52), [137, 224, 7, 65]),
        pygame.draw.rect(screen, (52, 52, 52), [60, 303, 7, 17]),
        pygame.draw.rect(screen, (0, 0, 0), [9, 548, 150, 26]),
        pygame.draw.rect(screen, (0, 0, 0), [192, 184, 150, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [371, 147, 150, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [520, 135, 22, 102]),
        pygame.draw.rect(screen, (0, 0, 0), [496, 0, 61, 79]),
        pygame.draw.rect(screen, (0, 0, 0), [53, 65, 419, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [581, 67, 182, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [691, 105, 182, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [615, 179, 8, 42]),
        pygame.draw.rect(screen, (0, 0, 0), [645, 146, 154, 7]),
        pygame.draw.rect(screen, (52, 52, 52), [174, 318, 7, 29]),
        pygame.draw.rect(screen, (0, 0, 0), [239, 292, 99, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [174, 315, 99, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [113, 222, 117, 7]),
        pygame.draw.rect(screen, (52, 52, 52), [115, 121, 7, 73]),
        pygame.draw.rect(screen, (0, 0, 0), [30, 115, 296, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 250, 61, 7]),
        pygame.draw.rect(screen, (52, 52, 52), [184, 397, 7, 42]),
        pygame.draw.rect(screen, (0, 0, 0), [168, 395, 40, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [595, 358, 223, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [246, 359, 224, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [464, 66, 8, 36]),
        pygame.draw.rect(screen, (0, 0, 0), [580, 67, 8, 34]),
        pygame.draw.rect(screen, (0, 0, 0), [465, 93, 123, 9]),
        pygame.draw.rect(screen, (52, 52, 52), [225, 191, 7, 61]),
        pygame.draw.rect(screen, (52, 52, 52), [266, 295, 7, 27]),
        pygame.draw.rect(screen, (0, 0, 0), [866, 202, 122, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [983, 202, 8, 63]),
        pygame.draw.rect(screen, (0, 0, 0), [562, 237, 107, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 0, 1080, 21]),
        pygame.draw.rect(screen, (0, 0, 0), [620, 70, 8, 82]),
        pygame.draw.rect(screen, (0, 0, 0), [22, 99, 61, 16])
]

self.draw =  [
        pygame.draw.rect(screen, (0, 0, 0), [320, 520, 86, 49]),
        pygame.draw.rect(screen, (0, 0, 0), [674, 537, 99, 33]),
        pygame.draw.rect(screen, (0, 0, 0), [658, 542, 7, 23]),
        pygame.draw.rect(screen, (0, 0, 0), [412, 508, 238, 59]),
        pygame.draw.rect(screen, (0, 0, 0), [250, 425, 117, 22]),
        pygame.draw.rect(screen, (0, 0, 0), [697, 425, 117, 22]),
        pygame.draw.rect(screen, (0, 0, 0), [624, 425, 51, 22]),
        pygame.draw.rect(screen, (0, 0, 0), [551, 425, 51, 22]),
        pygame.draw.rect(screen, (0, 0, 0), [480, 425, 51, 22]),
        pygame.draw.rect(screen, (0, 0, 0), [410, 425, 51, 22]),
        pygame.draw.rect(screen, (0, 0, 0), [344, 425, 51, 22])
]

self.win_zones =  [
        pygame.draw.rect(screen, (47, 237, 237), [858, 114, 8, 36])
]

=====

Squeeze(1034, 34, 1)

dsnclass.Text("Squeeze", (660, 212), 60, "impact", GREY, None)

self.platforms =  [
        pygame.draw.rect(screen, (0, 0, 0), [0, 5, 15, 571]),
        pygame.draw.rect(screen, (0, 0, 0), [1065, 5, 15, 571]),
        pygame.draw.rect(screen, (0, 0, 0), [3, 471, 1074, 105]),
        pygame.draw.rect(screen, (0, 0, 0), [71, 48, 280, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 0, 1080, 15]),
        pygame.draw.rect(screen, (0, 0, 0), [378, 48, 687, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [636, 38, 113, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [823, 43, 113, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [452, 43, 113, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [359, 64, 11, 190]),
        pygame.draw.rect(screen, (0, 0, 0), [255, 160, 11, 95]),
        pygame.draw.rect(screen, (0, 0, 0), [5, 78, 113, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [359, 0, 11, 33]),
        pygame.draw.rect(screen, (0, 0, 0), [99, 129, 11, 29]),
        pygame.draw.rect(screen, (0, 0, 0), [99, 146, 146, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [0, 200, 111, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [100, 176, 11, 36]),
        pygame.draw.rect(screen, (0, 0, 0), [30, 129, 80, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [126, 221, 105, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [258, 243, 111, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [255, 53, 11, 42]),
        pygame.draw.rect(screen, (0, 0, 0), [50, 236, 11, 62]),
        pygame.draw.rect(screen, (0, 0, 0), [170, 54, 11, 23]),
        pygame.draw.rect(screen, (0, 0, 0), [212, 446, 11, 31]),
        pygame.draw.rect(screen, (0, 0, 0), [110, 446, 11, 31]),
        pygame.draw.rect(screen, (0, 0, 0), [110, 446, 113, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [116, 323, 11, 31]),
        pygame.draw.rect(screen, (0, 0, 0), [7, 342, 113, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [72, 276, 11, 52]),
        pygame.draw.rect(screen, (0, 0, 0), [29, 276, 11, 52]),
        pygame.draw.rect(screen, (0, 0, 0), [654, 101, 11, 56]),
        pygame.draw.rect(screen, (0, 0, 0), [654, 145, 109, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [753, 108, 153, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [885, 141, 153, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [295, 172, 38, 9]),
        pygame.draw.rect(screen, (0, 0, 0), [551, 90, 114, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [359, 243, 11, 47]),
        pygame.draw.rect(screen, (0, 0, 0), [255, 262, 11, 24]),
        pygame.draw.rect(screen, (0, 0, 0), [99, 277, 167, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [497, 277, 11, 34]),
        pygame.draw.rect(screen, (0, 0, 0), [634, 248, 11, 35]),
        pygame.draw.rect(screen, (0, 0, 0), [777, 208, 147, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [634, 241, 153, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [497, 271, 147, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [290, 300, 11, 35]),
        pygame.draw.rect(screen, (0, 0, 0), [117, 323, 183, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [689, 107, 38, 21]),
        pygame.draw.rect(screen, (0, 0, 0), [92, 262, 11, 27]),
        pygame.draw.rect(screen, (0, 0, 0), [290, 299, 80, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [383, 299, 125, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [383, 90, 11, 200]),
        pygame.draw.rect(screen, (0, 0, 0), [92, 205, 19, 36]),
        pygame.draw.rect(screen, (0, 0, 0), [753, 108, 11, 49]),
        pygame.draw.rect(screen, (0, 0, 0), [493, 398, 125, 73]),
        pygame.draw.rect(screen, (0, 0, 0), [777, 210, 11, 42]),
        pygame.draw.rect(screen, (0, 0, 0), [734, 325, 179, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [902, 306, 135, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [618, 361, 11, 112]),
        pygame.draw.rect(screen, (0, 0, 0), [627, 361, 110, 92]),
        pygame.draw.rect(screen, (255, 255, 255), [512, 415, 94, 55]),
        pygame.draw.rect(screen, (0, 0, 0), [734, 327, 11, 44]),
        pygame.draw.rect(screen, (0, 0, 0), [734, 327, 11, 111]),
        pygame.draw.rect(screen, (0, 0, 0), [902, 309, 11, 106]),
        pygame.draw.rect(screen, (255, 255, 255), [637, 378, 81, 59]),
        pygame.draw.rect(screen, (0, 0, 0), [912, 316, 125, 86]),
        pygame.draw.rect(screen, (0, 0, 0), [741, 334, 166, 92]),
        pygame.draw.rect(screen, (0, 0, 0), [913, 176, 161, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [941, 432, 131, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [913, 176, 11, 43]),
        pygame.draw.rect(screen, (0, 0, 0), [428, 433, 67, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [434, 446, 64, 5]),
        pygame.draw.rect(screen, (52, 52, 52), [15, 212, 77, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [385, 90, 143, 12]),
        pygame.draw.rect(screen, (0, 0, 0), [545, 90, 11, 25]),
        pygame.draw.rect(screen, (0, 0, 0), [524, 108, 30, 7]),
        pygame.draw.rect(screen, (0, 0, 0), [940, 432, 11, 24]),
        pygame.draw.rect(screen, (0, 0, 0), [795, 445, 11, 16]),
        pygame.draw.rect(screen, (0, 0, 0), [795, 445, 155, 11]),
        pygame.draw.rect(screen, (0, 0, 0), [585, 101, 65, 55]),
        pygame.draw.rect(screen, (0, 0, 0), [386, 401, 80, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [205, 392, 9, 34]),
        pygame.draw.rect(screen, (0, 0, 0), [89, 416, 9, 25]),
        pygame.draw.rect(screen, (0, 0, 0), [56, 435, 42, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [517, 90, 11, 25]),
        pygame.draw.rect(screen, (0, 0, 0), [360, 299, 11, 161]),
        pygame.draw.rect(screen, (0, 0, 0), [383, 299, 11, 160]),
        pygame.draw.rect(screen, (0, 0, 0), [96, 416, 117, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [338, 371, 9, 89]),
        pygame.draw.rect(screen, (0, 0, 0), [308, 450, 39, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [302, 397, 9, 63]),
        pygame.draw.rect(screen, (0, 0, 0), [285, 397, 9, 33]),
        pygame.draw.rect(screen, (0, 0, 0), [267, 371, 9, 58]),
        pygame.draw.rect(screen, (0, 0, 0), [266, 420, 18, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [165, 392, 106, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [268, 371, 78, 10]),
        pygame.draw.rect(screen, (0, 0, 0), [394, 137, 83, 55]),
        pygame.draw.rect(screen, (0, 0, 0), [394, 195, 83, 12])
]

self.draw =  [
        pygame.draw.rect(screen, (52, 52, 52), [755, 338, 140, 77]),
        pygame.draw.rect(screen, (52, 52, 52), [914, 317, 114, 73]),
        pygame.draw.rect(screen, (52, 52, 52), [865, 338, 114, 52]),
        pygame.draw.rect(screen, (52, 52, 52), [15, 354, 99, 13]),
        pygame.draw.rect(screen, (52, 52, 52), [127, 335, 162, 13]),
        pygame.draw.rect(screen, (52, 52, 52), [301, 311, 59, 16]),
        pygame.draw.rect(screen, (52, 52, 52), [394, 311, 105, 20]),
        pygame.draw.rect(screen, (52, 52, 52), [508, 283, 131, 20]),
        pygame.draw.rect(screen, (52, 52, 52), [645, 252, 133, 20]),
        pygame.draw.rect(screen, (52, 52, 52), [788, 219, 127, 26]),
        pygame.draw.rect(screen, (52, 52, 52), [924, 187, 141, 25]),
        pygame.draw.rect(screen, (255, 255, 255), [431, 150, 12, 12]),
        pygame.draw.rect(screen, (255, 255, 255), [456, 150, 12, 12]),
        pygame.draw.rect(screen, (255, 255, 255), [615, 119, 6, 37])
]

self.win_zones =  [
        pygame.draw.rect(screen, (47, 237, 237), [130, 461, 75, 10]),
        pygame.draw.rect(screen, (47, 237, 237), [1056, 443, 9, 28])
]

=====
